,scan_0,scan_1,scan_2,scan_3
0,1,5,2,12
1,0,3,47,3
2,1,0,0,0
3,15,8,0,2
4,5,2,2,2
5,4,11,2,1
6,9,8,20,4
7,3,3,1,8
8,2,7,1,5
9,1,4,0,0
10,0,0,0,3
11,0,13,0,0
12,1,6,3,1
13,0,0,0,0
14,1,1,0,1
15,0,0,0,0
16,2,4,4,3
17,1,8,9,7
18,1,1,1,6
19,0,0,0,0
20,1,4,0,2
21,1,3,4,3
22,0,0,0,2
23,2,3,4,1
24,2,0,1,0
25,1,1,2,11
26,1,3,4,7
27,2,1,0,0
28,4,2,3,1
29,0,0,0,0
30,1,2,5,5
31,4,0,8,11
32,0,2,10,0
33,3,8,5,1
34,2,2,1,0
35,0,0,0,0
36,3,1,3,0
37,1,5,1,1
38,5,5,2,1
39,0,3,0,0
40,0,0,0,0
41,0,0,0,2
42,5,17,3,4
43,0,0,0,1
44,7,5,0,0
45,0,3,26,3
46,1,0,1,1
47,1,4,3,5
48,0,3,0,3
49,4,0,0,0
50,2,3,0,4
51,2,2,1,0
52,0,0,3,4
53,6,3,10,0
54,2,4,1,2
55,12,0,0,1
56,1,3,5,0
57,3,13,2,2
58,0,0,0,0
59,0,0,4,10
60,1,0,3,1
61,2,1,5,6
62,0,0,0,0
63,0,1,0,0
64,0,0,3,0
65,13,4,1,4
66,0,0,0,0
67,0,0,0,0
68,3,4,1,16
69,0,0,0,0
70,1,2,1,8
71,0,5,4,0
72,2,0,0,0
73,3,1,4,7
74,4,10,4,3
75,3,1,0,0
76,4,0,0,3
77,2,0,5,3
78,1,0,0,0
79,2,3,9,10
80,3,4,1,6
81,3,9,2,1
82,4,4,2,4
83,6,2,4,1
84,0,0,0,0
85,0,0,0,0
86,0,4,2,1
87,0,0,0,0
88,1,2,1,7
89,6,2,3,6
90,0,4,0,0
91,4,5,0,4
92,12,4,1,1
93,2,5,6,4
94,0,0,12,1
95,0,2,7,7
96,1,8,3,1
97,3,11,0,3
98,3,7,5,3
99,0,0,4,10
100,4,4,1,7
101,0,0,0,0
102,0,9,2,4
103,2,2,1,1
104,1,0,0,7
105,0,0,2,4
106,2,41,3,1
107,10,0,0,0
108,2,0,0,4
109,11,5,2,4
110,2,2,10,6
111,2,2,8,3
112,0,0,0,0
113,3,3,3,5
114,1,1,1,1
115,1,3,3,0
116,4,0,11,2
117,2,5,3,1
118,2,3,2,4
119,0,5,1,2
120,1,4,17,2
121,1,1,11,1
122,0,0,1,0
123,6,1,2,4
124,20,4,0,0
125,1,5,0,0
126,3,0,2,3
127,5,9,1,1
128,2,0,0,2
129,6,1,2,13
130,0,0,0,0
131,4,3,0,2
132,8,4,3,6
133,1,1,6,2
134,0,5,2,6
135,0,0,0,0
136,4,7,3,2
137,1,5,7,1
138,0,0,1,9
139,0,1,0,0
140,1,0,0,0
141,0,4,0,2
142,2,1,1,2
143,0,1,4,6
144,3,1,2,0
145,12,4,3,7
146,8,3,0,0
147,0,1,2,0
148,7,1,3,4
149,1,3,2,0
150,1,2,0,0
151,3,2,10,0
152,2,1,0,11
153,3,3,8,1
154,2,15,3,6
155,1,1,0,1
156,0,0,2,1
157,2,2,3,0
158,3,4,0,0
159,0,0,15,3
160,6,8,2,3
161,0,1,8,0
162,0,0,0,0
163,4,3,0,1
164,0,2,0,0
165,7,16,2,2
166,0,3,0,0
167,0,0,0,0
168,3,0,3,1
169,0,0,0,0
170,1,17,5,14
171,1,0,0,0
172,0,1,3,4
173,2,1,3,11
174,0,3,6,7
175,0,2,1,10
176,1,3,0,0
177,9,1,1,2
178,5,2,1,4
179,4,2,5,5
180,0,0,1,0
181,0,3,2,9
182,0,0,4,0
183,2,1,4,3
184,0,3,21,4
185,6,1,3,0
186,2,2,1,2
187,23,4,5,20
188,0,0,0,2
189,0,0,0,0
190,6,0,0,0
191,0,0,6,0
192,1,2,4,11
193,3,1,8,6
194,1,2,1,0
195,3,0,0,0
196,0,0,0,0
197,1,7,1,0
198,0,0,0,0
199,2,6,0,0
200,0,0,0,0
201,5,1,3,3
202,2,0,2,0
203,11,1,2,4
204,6,5,2,2
205,5,2,4,3
206,8,3,2,5
207,0,0,0,1
208,0,0,6,0
209,0,0,0,2
210,7,1,2,1
211,6,1,1,5
212,5,3,0,0
213,2,0,0,0
214,0,0,0,0
215,4,3,6,11
216,0,0,0,0
217,0,5,7,8
218,1,2,5,13
219,0,0,4,2
220,3,1,0,5
221,0,0,0,0
222,0,0,4,4
223,6,4,2,1
224,0,6,0,0
225,0,0,0,0
226,3,16,3,0
227,0,0,0,0
228,1,0,2,2
229,0,1,0,3
230,0,0,0,0
231,5,2,22,1
232,0,0,2,0
233,2,1,2,0
234,1,2,2,2
235,0,0,0,0
236,0,0,0,0
237,6,0,0,6
238,0,0,0,0
239,0,0,0,0
240,1,4,17,2
241,0,0,0,0
242,0,0,0,0
243,0,0,8,5
244,1,11,1,0
245,4,8,0,0
246,1,0,2,3
247,2,2,1,3
248,0,0,0,6
249,1,7,0,1
250,0,0,0,0
251,0,0,2,0
252,1,0,2,3
253,2,7,11,3
254,4,2,8,0
255,1,0,0,0
256,3,6,6,4
257,0,14,7,3
258,1,1,0,2
259,1,8,3,2
260,1,5,0,3
261,5,3,4,3
262,0,0,0,0
263,0,0,11,10
264,1,1,3,0
265,0,4,0,0
266,1,2,0,2
267,0,0,0,0
268,1,1,5,9
269,0,0,0,1
270,2,0,0,0
271,5,9,1,2
272,0,2,0,0
273,0,0,0,6
274,1,4,6,0
275,0,0,0,0
276,3,2,2,1
277,0,0,6,4
278,1,4,2,2
279,0,2,9,2
280,1,5,0,5
281,0,1,5,3
282,3,4,1,3
283,1,2,8,2
284,0,2,7,0
285,0,0,0,0
286,0,0,0,0
287,10,1,3,1
288,0,12,4,0
289,0,0,0,3
290,5,5,1,4
291,1,18,1,8
292,2,9,10,0
293,1,1,9,3
294,1,0,1,0
295,10,2,1,1
296,0,7,2,10
297,1,0,2,5
298,6,7,6,1
299,1,3,5,19
300,0,0,0,0
301,2,9,0,0
302,1,2,5,4
303,5,2,0,0
304,3,3,0,2
305,7,1,1,0
306,3,3,8,8
307,5,2,3,1
308,3,7,0,0
309,1,2,9,6
310,1,4,2,5
311,2,1,1,1
312,2,1,1,23
313,1,1,0,0
314,1,2,2,0
315,0,3,3,1
316,3,2,6,3
317,1,1,8,0
318,0,0,0,1
319,1,3,10,2
320,0,0,0,0
321,1,0,0,0
322,7,4,1,0
323,1,2,1,3
324,6,4,6,1
325,4,5,0,1
326,0,0,0,0
327,1,1,1,1
328,0,0,0,0
329,5,5,0,1
330,4,0,0,0
331,1,2,7,1
332,1,4,0,0
333,8,2,5,0
334,0,2,2,0
335,2,0,1,2
336,0,0,0,0
337,0,0,0,0
338,2,7,0,0
339,0,0,0,0
340,3,2,1,3
341,0,0,0,0
342,2,1,0,0
343,11,2,3,7
344,2,6,7,6
345,3,1,1,4
346,0,0,2,10
347,6,3,3,9
348,1,2,8,3
349,3,7,8,2
350,20,0,0,0
351,0,0,0,0
352,0,1,2,0
353,0,4,0,0
354,2,4,1,2
355,6,2,1,2
356,0,0,5,2
357,0,0,0,0
358,3,7,0,5
359,2,2,3,5
360,0,0,0,0
361,2,1,2,3
362,0,0,0,0
363,0,0,0,0
364,3,2,1,5
365,1,14,2,5
366,0,0,0,0
367,0,0,4,8
368,2,6,11,0
369,1,3,4,17
370,0,0,0,5
371,0,13,3,2
372,0,0,0,0
373,3,1,7,9
374,2,10,2,2
375,2,4,0,0
376,4,8,0,0
377,0,2,7,2
378,0,0,0,0
379,0,0,0,0
380,4,2,3,3
381,1,1,5,1
382,0,3,0,0
383,1,0,0,0
384,4,1,0,0
385,0,0,0,0
386,3,5,3,9
387,2,1,0,0
388,1,0,4,4
389,0,2,1,5
390,0,0,3,2
391,4,2,5,9
392,0,3,4,0
393,4,1,4,1
394,0,0,0,0
395,0,6,1,3
396,8,1,4,2
397,0,0,0,0
398,3,3,1,0
399,7,1,3,1
400,0,3,0,0
401,1,1,1,4
402,4,1,8,0
403,0,0,0,0
404,6,2,4,0
405,0,11,1,2
406,1,1,9,1
407,0,0,2,2
408,0,0,25,0
409,3,0,0,0
410,0,0,4,0
411,0,0,0,0
412,2,5,4,0
413,0,0,0,0
414,1,2,4,3
415,0,0,0,0
416,0,3,3,2
417,0,0,4,0
418,0,0,0,0
419,0,0,4,4
420,0,1,4,0
421,2,15,0,1
422,0,2,3,1
423,0,0,0,0
424,0,0,5,0
425,2,1,0,0
426,4,3,1,2
427,16,0,2,6
428,0,4,2,1
429,1,1,1,4
430,9,1,6,5
431,6,5,2,3
432,0,0,5,0
433,0,0,0,0
434,1,4,4,5
435,0,0,0,0
436,0,0,0,1
437,1,5,3,6
438,1,14,0,0
439,11,0,0,0
440,1,4,0,4
441,4,5,2,0
442,0,1,0,0
443,0,0,0,0
444,2,1,0,0
445,1,3,1,1
446,2,3,19,4
447,9,6,8,7
448,2,1,2,1
449,3,0,6,2
450,0,0,2,10
451,3,5,2,3
452,2,1,1,0
453,0,2,0,0
454,0,0,0,0
455,0,5,4,3
456,0,0,0,0
457,1,0,0,0
458,2,1,3,0
459,3,4,3,5
460,5,2,0,3
461,3,4,4,1
462,1,1,0,0
463,1,2,5,2
464,6,2,2,3
465,1,5,1,0
466,1,1,1,6
467,1,0,0,0
468,0,0,0,0
469,0,0,0,0
470,9,1,4,1
471,1,1,4,0
472,0,0,3,3
473,1,1,1,1
474,0,5,7,2
475,4,15,6,0
476,1,2,0,2
477,1,4,1,4
478,5,12,6,5
479,1,3,5,0
480,9,2,2,11
481,0,8,3,3
482,5,4,15,1
483,1,2,3,3
484,1,5,2,5
485,1,0,0,0
486,4,3,0,2
487,0,0,16,4
488,8,1,1,2
489,1,1,0,0
490,1,7,3,3
491,1,0,2,3
492,0,0,0,0
493,1,17,0,0
494,4,4,0,0
495,2,21,2,4
496,1,6,1,0
497,0,1,2,6
498,0,0,0,0
499,1,2,3,1
500,0,0,0,0
501,0,0,0,1
502,0,1,0,4
503,7,2,6,7
504,4,2,7,0
505,0,0,0,0
506,0,0,0,0
507,3,5,0,10
508,0,0,0,0
509,1,2,2,14
510,2,2,2,7
511,17,2,11,3
512,0,0,0,0
513,0,0,0,0
514,0,4,8,5
515,0,0,6,5
516,1,3,2,8
517,3,1,4,0
518,0,5,0,27
519,1,6,2,2
520,3,1,18,0
521,0,0,0,0
522,3,1,0,0
523,5,1,1,0
524,7,2,5,2
525,1,0,9,6
526,0,5,0,0
527,5,2,3,1
528,2,0,0,4
529,0,0,0,0
530,1,2,0,0
531,0,8,0,0
532,0,0,0,2
533,1,3,4,13
534,0,3,2,3
535,8,8,2,2
536,4,1,3,7
537,0,0,2,3
538,0,1,0,0
539,0,0,5,2
540,2,3,1,1
541,1,1,5,13
542,1,2,5,0
543,5,2,0,0
544,0,0,4,3
545,13,4,0,9
546,8,0,6,2
547,6,1,1,0
548,5,0,0,0
549,1,2,0,0
550,3,3,2,3
551,1,1,3,8
552,3,3,1,0
553,1,0,0,0
554,0,2,4,5
555,6,2,1,2
556,0,1,12,2
557,4,4,22,1
558,0,0,2,0
559,1,10,1,1
560,0,2,0,0
561,0,4,4,2
562,1,1,0,1
563,2,1,0,0
564,0,2,5,0
565,0,0,0,1
566,3,2,2,2
567,0,3,0,0
568,3,4,3,4
569,0,0,2,0
570,8,4,1,18
571,4,2,3,7
572,0,0,0,0
573,5,4,0,9
574,0,6,2,5
575,1,4,3,5
576,0,0,0,0
577,0,4,3,1
578,3,4,6,2
579,0,0,0,0
580,0,5,5,15
581,0,0,0,0
582,0,6,2,0
583,2,2,2,2
584,0,0,0,0
585,0,0,8,19
586,4,1,0,0
587,0,0,0,3
588,0,0,0,0
589,0,2,15,0
590,8,2,12,0
591,3,7,4,4
592,0,0,0,0
593,0,0,0,0
594,0,0,5,12
595,0,0,0,3
596,1,0,0,0
597,0,0,0,0
598,0,2,2,1
599,3,1,7,1
600,3,10,1,0
601,1,5,0,0
602,4,1,2,10
603,1,1,1,7
604,0,0,0,0
605,0,0,0,2
606,2,5,7,1
607,2,3,6,9
608,0,0,6,2
609,0,3,5,0
610,0,2,1,4
611,1,2,3,0
612,5,18,4,5
613,2,8,3,0
614,1,1,0,4
615,10,4,3,3
616,5,0,4,0
617,0,0,0,0
618,1,1,3,4
619,0,4,17,0
620,0,0,1,2
621,0,0,0,2
622,0,4,9,7
623,2,1,0,8
624,0,2,1,2
625,3,4,2,1
626,0,0,4,4
627,3,4,5,33
628,7,2,3,2
629,2,6,1,2
630,0,0,0,2
631,3,0,0,0
632,0,0,0,0
633,1,4,1,2
634,6,2,0,0
635,0,0,0,0
636,0,0,0,0
637,3,0,0,7
638,0,0,0,0
639,1,0,9,6
640,2,2,1,8
641,2,6,14,7
642,3,1,4,2
643,2,10,4,2
644,13,2,2,0
645,2,13,3,1
646,1,0,0,0
647,0,0,0,0
648,1,1,2,2
649,0,0,0,0
650,1,7,2,2
651,0,7,5,0
652,2,1,1,3
653,11,3,0,6
654,0,0,2,4
655,3,10,2,0
656,0,0,0,0
657,0,0,0,0
658,0,0,0,0
659,0,0,2,2
660,0,0,0,0
661,0,0,0,0
662,1,1,3,0
663,1,5,1,4
664,0,0,0,4
665,4,2,2,0
666,0,2,9,5
667,1,2,0,1
668,1,2,6,7
669,4,4,1,3
670,0,4,3,2
671,0,0,5,3
672,0,2,3,1
673,0,0,0,0
674,0,0,0,0
675,0,0,0,1
676,1,0,3,2
677,0,3,0,0
678,0,0,0,0
679,1,9,0,5
680,0,0,0,0
681,6,2,0,0
682,3,5,2,12
683,0,0,0,0
684,6,0,0,0
685,0,0,0,2
686,1,3,0,2
687,0,0,10,0
688,0,6,0,0
689,0,0,0,0
690,2,9,4,9
691,6,3,2,3
692,0,0,0,0
693,0,5,1,0
694,0,0,0,0
695,0,2,4,0
696,1,2,1,0
697,4,4,3,1
698,0,2,14,0
699,0,0,0,0
700,0,0,0,0
701,10,2,18,0
702,0,0,0,4
703,1,1,1,1
704,0,4,4,0
705,3,4,4,0
706,6,8,6,2
707,5,0,1,1
708,0,0,0,0
709,3,4,2,6
710,0,1,1,0
711,15,6,1,1
712,3,2,2,1
713,1,5,8,3
714,1,2,5,5
715,0,7,2,0
716,20,4,2,1
717,0,15,4,10
718,5,4,1,1
719,0,0,0,0
720,10,0,1,3
721,7,5,3,4
722,3,3,1,4
723,0,0,1,15
724,16,16,9,5
725,1,0,0,0
726,0,0,0,0
727,7,3,6,2
728,0,5,4,3
729,0,0,0,0
730,1,11,3,0
731,3,3,1,4
732,6,1,1,6
733,5,4,0,0
734,2,2,0,0
735,1,2,1,4
736,12,1,0,4
737,0,4,1,3
738,3,1,3,1
739,0,3,2,1
740,0,0,0,0
741,5,9,0,0
742,3,3,8,1
743,0,0,0,0
744,0,0,12,0
745,2,4,4,7
746,4,3,2,0
747,21,0,0,0
748,8,22,7,2
749,1,0,8,3
750,0,2,2,2
751,0,0,0,0
752,1,16,4,5
753,4,0,10,16
754,0,0,1,0
755,0,3,0,0
756,3,2,8,2
757,0,0,0,0
758,0,0,0,0
759,0,4,0,0
760,2,0,0,0
761,0,0,0,0
762,0,0,0,0
763,0,0,4,1
764,0,4,2,2
765,0,9,10,7
766,4,0,0,0
767,0,7,1,3
768,6,2,0,0
769,1,0,4,4
770,0,0,0,0
771,0,8,8,0
772,1,1,3,4
773,1,2,5,2
774,6,22,6,7
775,0,0,0,0
776,1,2,1,0
777,0,0,1,8
778,0,0,0,0
779,0,0,8,0
780,2,2,7,8
781,11,9,3,20
782,1,2,0,2
783,12,1,3,2
784,0,1,3,2
785,1,0,0,0
786,1,2,1,6
787,1,6,0,5
788,1,2,9,0
789,0,20,3,3
790,10,0,0,0
791,4,4,4,0
792,0,10,10,0
793,1,73,2,0
794,2,7,1,12
795,1,1,7,0
796,4,6,3,3
797,1,1,1,0
798,0,3,4,7
799,8,0,0,0
800,5,1,1,1
801,1,1,1,2
802,1,0,1,2
803,0,0,0,0
804,0,0,9,2
805,0,3,6,4
806,0,6,2,2
807,1,0,6,2
808,2,1,10,1
809,0,0,0,0
810,8,3,16,2
811,0,0,0,0
