,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.090,0.066,0.061,0.064,0.071,,,0.040,0.051,0.056,,0.062
DCC_joint,0.040,0.047,0.032,0.031,0.032,,,0.031,0.036,0.039,,0.036
DCC_bivariate_loop,0.046,0.046,0.032,0.034,0.034,,,0.033,0.039,0.041,,0.038
SW_cross_validated,0.056,0.054,0.045,0.054,0.075,,,0.037,0.042,0.049,,0.051
SW_15,0.040,0.034,0.035,0.033,0.035,,,0.040,0.037,0.037,,0.036
SW_30,0.045,0.039,0.041,0.036,0.045,,,0.043,0.038,0.040,,0.041
SW_60,0.050,0.048,0.049,0.041,0.034,,,0.035,0.037,0.040,,0.042
SW_120,0.062,0.053,0.048,0.030,0.032,,,0.039,0.044,0.051,,0.045
sFC,0.060,0.057,0.020,0.020,0.018,,,0.027,0.018,0.045,,0.033
